,player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
0,"{'name': 'Dani Olmo', 'slug': 'dani-olmo', 'shortName': 'D. Olmo', 'position': 'M', 'jerseyNumber': '20', 'userCount': 194438, 'gender': 'M', 'sofascoreId': 'DaniOlmo', 'id': 789071, 'fieldTranslations': {'nameTranslation': {'ar': 'داني أولمو'}, 'shortNameTranslation': {'ar': 'د. أولمو', 'hi': 'डी. ओल्मो', 'bn': 'ডি. ওলমো'}}}",True,goal,regular,fast-break,"{'x': 13, 'y': 45.4, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.6, 'z': 3.2}",0.48045688867569,0.80454111099243,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266674,90,3.0,5548,"{'start': {'x': 45.4, 'y': 13}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 96.8}}",1,752,148,shot,
1,"{'name': 'Jon Pacheco', 'firstName': '', 'lastName': '', 'slug': 'jon-pacheco', 'shortName': 'J. Pacheco', 'position': 'D', 'jerseyNumber': '5', 'userCount': 468, 'gender': 'M', 'id': 934383, 'fieldTranslations': {'nameTranslation': {'ar': 'جون باتشيكو', 'hi': 'जॉन पचेको', 'bn': 'জন পাচেকো'}, 'shortNameTranslation': {'ar': 'ج. باتشيكو', 'hi': 'जे. पचेको', 'bn': 'জে. পাচেকো'}}}",False,miss,,corner,"{'x': 9.8, 'y': 49, 'z': 0}",right-foot,left,"{'x': 0, 'y': 63.9, 'z': 5.6}",0.060231875628233,0.0,"{'name': 'Joan García', 'slug': 'joan-garcia', 'shortName': 'J. García', 'position': 'G', 'jerseyNumber': '13', 'userCount': 90542, 'gender': 'M', 'id': 930267, 'fieldTranslations': {'nameTranslation': {'ar': 'جوان جارسيا', 'hi': 'जोन गार्सिया', 'bn': 'জোয়ান গার্সিয়া'}, 'shortNameTranslation': {'ar': 'ج. جارسيا', 'hi': 'जे. गार्सिया', 'bn': 'জে. গার্সিয়া'}}}",6266536,78,,4656,"{'start': {'x': 49, 'y': 9.8}, 'block': {'x': 40.1, 'y': 4.6}, 'end': {'x': 36.1, 'y': 0}, 'goal': {'x': 36.1, 'y': 94.4}}",13,744,1956,shot,"{'x': 4.6, 'y': 40.1, 'z': 0}"
2,"{'name': 'Lucas Boyé', 'slug': 'lucas-boye', 'shortName': 'L. Boyé', 'position': 'F', 'jerseyNumber': '15', 'userCount': 1118, 'gender': 'M', 'id': 814385, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكاس بويه', 'hi': 'लुकास बोये', 'bn': 'লুকাস বোয়ে'}, 'shortNameTranslation': {'ar': 'ل. بويه', 'hi': 'एल. बोये', 'bn': 'এল. বোয়ে'}}}",False,block,,assisted,"{'x': 8.2, 'y': 56.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}",0.10504229366779,0.0,"{'name': 'Joan García', 'slug': 'joan-garcia', 'shortName': 'J. García', 'position': 'G', 'jerseyNumber': '13', 'userCount': 90542, 'gender': 'M', 'id': 930267, 'fieldTranslations': {'nameTranslation': {'ar': 'جوان جارسيا', 'hi': 'जोन गार्सिया', 'bn': 'জোয়ান গার্সিয়া'}, 'shortNameTranslation': {'ar': 'ج. جارسيا', 'hi': 'जे. गार्सिया', 'bn': 'জে. গার্সিয়া'}}}",6266523,78,,4623,"{'start': {'x': 56.2, 'y': 8.2}, 'block': {'x': 54.7, 'y': 6.3}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",13,777,1923,shot,"{'x': 6.3, 'y': 54.7, 'z': 0}"
3,"{'name': 'Marc Casadó', 'slug': 'marc-casado', 'shortName': 'M. Casadó', 'position': 'M', 'jerseyNumber': '17', 'userCount': 62215, 'gender': 'M', 'sofascoreId': 'marccasado', 'id': 1000483, 'fieldTranslations': {'nameTranslation': {'ar': 'مارك كاسادو', 'hi': 'मार्क कैसाडो', 'bn': 'মার্ক কাসাডো'}, 'shortNameTranslation': {'ar': 'م. كاسادو', 'hi': 'एम. कैसाडो', 'bn': 'এম. কাসাডো'}}}",True,block,,assisted,"{'x': 22.6, 'y': 55.4, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 48.2, 'z': 19}",0.03662321344018,0.0,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266543,74,,4396,"{'start': {'x': 55.4, 'y': 22.6}, 'block': {'x': 53.8, 'y': 12.4}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 81}}",17,1004,1696,shot,"{'x': 12.4, 'y': 53.8, 'z': 0}"
4,"{'name': 'Lamine Yamal', 'slug': 'lamine-yamal', 'shortName': 'L. Yamal', 'position': 'M', 'jerseyNumber': '10', 'userCount': 1472275, 'gender': 'M', 'sofascoreId': 'Lamiyamal', 'id': 1402912, 'fieldTranslations': {'nameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}, 'shortNameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}}}",True,miss,,regular,"{'x': 15, 'y': 53.6, 'z': 0}",left-foot,right,"{'x': 0, 'y': 26.9, 'z': 20.8}",0.042417280375957,0.0,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266519,74,,4382,"{'start': {'x': 53.6, 'y': 15}, 'block': {'x': 71.7, 'y': 1.1}, 'end': {'x': 73.1, 'y': 0}, 'goal': {'x': 73.1, 'y': 79.2}}",17,1018,1682,shot,"{'x': 1.1, 'y': 71.7, 'z': 0}"
5,"{'name': 'Lamine Yamal', 'slug': 'lamine-yamal', 'shortName': 'L. Yamal', 'position': 'M', 'jerseyNumber': '10', 'userCount': 1472275, 'gender': 'M', 'sofascoreId': 'Lamiyamal', 'id': 1402912, 'fieldTranslations': {'nameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}, 'shortNameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}}}",True,block,,assisted,"{'x': 15.6, 'y': 51.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 19}",0.088216871023178,0.0,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266497,74,,4380,"{'start': {'x': 51.5, 'y': 15.6}, 'block': {'x': 50.9, 'y': 12.1}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 81}}",17,1020,1680,shot,"{'x': 12.1, 'y': 50.9, 'z': 0}"
6,"{'name': 'Lamine Yamal', 'slug': 'lamine-yamal', 'shortName': 'L. Yamal', 'position': 'M', 'jerseyNumber': '10', 'userCount': 1472275, 'gender': 'M', 'sofascoreId': 'Lamiyamal', 'id': 1402912, 'fieldTranslations': {'nameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}, 'shortNameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}}}",True,block,,assisted,"{'x': 17, 'y': 62.4, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.9, 'z': 19}",0.042449168860912,0.0,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266492,73,,4377,"{'start': {'x': 62.4, 'y': 17}, 'block': {'x': 60.1, 'y': 13.8}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 81}}",18,1023,1677,shot,"{'x': 13.8, 'y': 60.1, 'z': 0}"
7,"{'name': 'Dani Olmo', 'slug': 'dani-olmo', 'shortName': 'D. Olmo', 'position': 'M', 'jerseyNumber': '20', 'userCount': 194438, 'gender': 'M', 'sofascoreId': 'DaniOlmo', 'id': 789071, 'fieldTranslations': {'nameTranslation': {'ar': 'داني أولمو'}, 'shortNameTranslation': {'ar': 'د. أولمو', 'hi': 'डी. ओल्मो', 'bn': 'ডি. ওলমো'}}}",True,miss,,regular,"{'x': 11.3, 'y': 55.2, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.3, 'z': 2.8}",0.14551240205765,0.0,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266438,71,,4239,"{'start': {'x': 55.2, 'y': 11.3}, 'end': {'x': 41.7, 'y': 0}, 'goal': {'x': 41.7, 'y': 97.2}}",20,1161,1539,shot,
8,"{'name': 'Lamine Yamal', 'slug': 'lamine-yamal', 'shortName': 'L. Yamal', 'position': 'M', 'jerseyNumber': '10', 'userCount': 1472275, 'gender': 'M', 'sofascoreId': 'Lamiyamal', 'id': 1402912, 'fieldTranslations': {'nameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}, 'shortNameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}}}",True,miss,,corner,"{'x': 22.3, 'y': 80.1, 'z': 0}",left-foot,left,"{'x': 0, 'y': 65.9, 'z': 33.3}",0.010098215192556,0.0,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266473,69,,4139,"{'start': {'x': 80.1, 'y': 22.3}, 'end': {'x': 34.1, 'y': 0}, 'goal': {'x': 34.1, 'y': 66.7}}",22,1261,1439,shot,
9,"{'name': 'Lamine Yamal', 'slug': 'lamine-yamal', 'shortName': 'L. Yamal', 'position': 'M', 'jerseyNumber': '10', 'userCount': 1472275, 'gender': 'M', 'sofascoreId': 'Lamiyamal', 'id': 1402912, 'fieldTranslations': {'nameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}, 'shortNameTranslation': {'ar': 'لامين يامال', 'hi': 'लामिन यमल', 'bn': 'লামিন ইয়ামাল'}}}",True,miss,,corner,"{'x': 23.5, 'y': 61.5, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 55, 'z': 51.4}",0.021369446069002,0.0,"{'name': 'Antonio Sivera', 'slug': 'antonio-sivera', 'shortName': 'A. Sivera', 'position': 'G', 'jerseyNumber': '1', 'userCount': 553, 'gender': 'M', 'id': 369004, 'fieldTranslations': {'nameTranslation': {'ar': 'أنطونيو سيفيرا', 'hi': 'एंटोनियो सिवेरा', 'bn': 'আন্তোনিও সিভেরা'}, 'shortNameTranslation': {'ar': 'أ. سيفيرا', 'hi': 'ए. सिवेरा', 'bn': 'এ. সিভেরা'}}}",6266325,65,,3889,"{'start': {'x': 61.5, 'y': 23.5}, 'end': {'x': 45, 'y': 0}, 'goal': {'x': 45, 'y': 48.6}}",26,1511,1189,shot,
