,Player,Min,90s,xGChain90,xGBuildup90,PrgC90,PrgP90
0,Jones El-Abdellaoui,184,2.0,0.0,0.0,9.0,0.0
1,Lucien Agoume,962,10.7,0.47,0.36,1.2149532710280375,5.794392523364486
2,Marc Aguado,998,11.1,0.15,0.15,0.2702702702702703,3.963963963963964
3,Pablo Agudín,70,0.8,0.06,0.0,1.25,1.25
4,Ilias Akhomach,188,2.1,1.03,0.2,4.285714285714286,3.333333333333333
5,Carles Aleñá,871,9.7,0.35,0.19,0.6185567010309279,3.195876288659794
6,Thiago Almada,418,4.6,1.14,0.59,3.0434782608695654,6.086956521739131
7,Domingos André Ribeiro Almeida,565,6.3,0.0,0.0,1.9047619047619049,8.88888888888889
8,Sergi Altimira,540,6.0,0.27,0.24,1.1666666666666667,2.5
9,Carlos Álvarez,1030,11.4,0.51,0.29,2.280701754385965,5.526315789473684
10,Hugo Álvarez,354,3.9,0.39,0.34,2.307692307692308,4.102564102564103
11,Sofyan Amrabat,603,6.7,0.39,0.35,1.3432835820895521,6.4179104477611935
12,Miguel Ángel Sierra,26,0.3,0.0,0.0,0.0,0.0
13,Antoniu,86,1.0,0.0,0.0,5.0,5.0
14,Mauro Arambarri,1408,15.6,0.17,0.03,0.5128205128205129,2.628205128205128
15,Kervin Arriaga,718,8.0,0.21,0.19,0.75,3.625
16,Iago Aspas,632,7.0,1.0,0.59,2.4285714285714284,10.0
17,Yaser Asprilla,548,6.1,0.0,0.0,2.6229508196721314,3.278688524590164
18,Ezequiel Ávila,45,0.5,0.36,0.0,2.0,4.0
19,Alex Baena,551,6.1,0.0,0.0,3.114754098360656,6.065573770491803
20,Kike Barja,143,1.6,0.18,0.1,5.0,0.625
21,Ander Barrenetxea,978,10.9,0.67,0.38,3.944954128440367,4.495412844036697
22,Pablo Barrios,1212,13.5,0.0,0.0,2.6666666666666665,6.666666666666667
23,Samu Becerra,12,0.1,0.0,0.0,0.0,0.0
24,Sheraldo Becker,158,1.8,0.3,0.0,2.2222222222222223,2.2222222222222223
25,Donny van de Beek,41,0.5,0.91,0.72,0.0,4.0
26,Jude Bellingham,922,10.2,0.82,0.46,1.9607843137254903,9.11764705882353
27,Fran Beltrán,466,5.2,0.38,0.34,1.1538461538461537,5.961538461538462
28,Carlos Benavídez,51,0.6,0.21,0.0,1.6666666666666667,3.3333333333333335
29,Álex Berenguer,1107,12.3,0.0,0.0,2.4390243902439024,3.252032520325203
30,Marc Bernal,102,1.1,1.54,1.54,0.9090909090909091,2.727272727272727
31,Antonio Blanco,1205,13.4,0.33,0.29,0.5970149253731343,5.895522388059701
32,Adam Boayar,6,0.1,0.0,0.0,10.0,20.0
33,Adama Boiro,198,2.2,0.12,0.1,1.8181818181818181,8.636363636363635
34,Lucas Boyé,911,10.1,0.54,0.15,0.9900990099009901,2.5742574257425743
35,Josip Brekalo,339,3.8,0.53,0.18,3.68421052631579,5.526315789473684
36,Abel Bretones,1249,13.9,0.1,0.07,1.5107913669064748,2.2302158273381294
37,Brugui,896,10.0,0.0,0.0,1.1,1.4
38,Tajon Buchanan,897,10.0,0.47,0.19,3.4,2.5
39,Manu Bueno,63,0.7,1.47,1.09,2.857142857142857,4.285714285714286
40,Calebe,450,5.0,0.38,0.3,3.4,3.6
41,Eduardo Camavinga,493,5.5,0.64,0.46,2.0,6.0
42,Sergio Camello,283,3.1,0.48,0.05,0.3225806451612903,1.2903225806451613
43,Johnny Cardoso,196,2.2,0.33,0.33,2.2727272727272725,4.545454545454545
44,Sergio Carreira,1103,12.3,0.52,0.46,2.0325203252032518,5.365853658536585
45,Marc Casado,537,6.0,0.0,0.0,1.1666666666666667,4.5
46,Santi Cazorla,423,4.7,0.0,0.0,0.851063829787234,6.808510638297872
47,Dani Ceballos,357,4.0,1.0,0.92,1.5,10.0
48,Ilyas Chaira,787,8.7,0.37,0.22,3.563218390804598,2.988505747126437
49,Pathé Ciss,962,10.7,0.54,0.44,1.4018691588785048,6.91588785046729
50,Santiago Colombatto,891,9.9,0.36,0.32,0.5050505050505051,4.949494949494949
51,Santi Comesaña,973,10.8,0.0,0.0,1.2037037037037037,5.185185185185185
52,Coba da Costa,318,3.5,0.19,0.13,2.5714285714285716,3.4285714285714284
53,Samu Costa,951,10.6,0.0,0.0,0.6603773584905661,3.30188679245283
54,Arnaut Danjuma,1056,11.7,0.0,0.0,3.3333333333333335,1.3675213675213675
55,Sergi Darder,1190,13.2,0.28,0.15,2.272727272727273,5.454545454545455
56,Leander Dendoncker,1286,14.3,0.15,0.1,1.048951048951049,3.2167832167832167
57,Nelson Deossa,272,3.0,0.18,0.11,2.6666666666666665,4.666666666666667
58,Grady Diangana,297,3.3,0.37,0.29,1.5151515151515151,2.121212121212121
59,Brahim Díaz,319,3.5,0.0,0.0,3.7142857142857144,2.5714285714285716
60,Pedro Díaz,795,8.8,0.37,0.3,1.1363636363636362,3.068181818181818
61,Djené,1134,12.6,0.0,0.0,0.31746031746031744,1.5873015873015874
62,Tyrhys Dolan,1062,11.8,0.35,0.2,4.322033898305085,2.4576271186440675
63,Marc Domenech,214,2.4,0.3,0.02,0.4166666666666667,1.6666666666666667
64,John Donald,213,2.4,1.2,0.88,0.8333333333333334,2.5
65,Pablo Durán,646,7.2,0.33,0.04,0.6944444444444444,1.9444444444444444
66,Ovie Ejaria,180,2.0,0.6,0.51,3.5,5.5
67,Chidera Ejuke,390,4.3,0.55,0.25,3.7209302325581395,4.4186046511627906
68,Unai Elgezabal,932,10.4,0.14,0.14,0.09615384615384615,1.25
