,Player,Tackles90,Interceptions90,PossessionWonFinalThird90,AccuratePasses90
0,Gabriel Suazo,4.4,1.2,0.4,38.1
1,Santiago Mourino,4.4,1.3,0.4,43.7
2,Dani Ceballos,4.3,1.5,0.3,71.1
3,Eduardo Camavinga,4.2,0.7,0.5,56.7
4,Alejandro Rego,4.2,1.7,0.7,33.2
5,Sergio Gomez,4.1,1.1,0.2,47.3
6,Ilaix Moriba,4.0,1.0,0.4,34.5
7,Sergi Altimira,4.0,2.2,0.3,50.4
8,Ilias Akhomach,4.0,,,25.9
9,Calebe,3.8,1.0,0.6,36.0
10,Mikel Vesga,3.8,2.7,1.1,42.5
11,Jon Aramburu,3.6,1.1,0.1,35.2
12,Benat Turrientes,3.5,0.6,0.6,31.3
13,John Donald,3.5,0.9,0.4,46.1
14,Oscar Valentin,3.4,1.1,0.1,33.7
15,Aihen Munoz,3.3,0.8,,27.3
16,Ramon Terrats,3.2,1.8,1.4,17.2
17,Juan Iglesias,3.1,0.5,0.2,16.5
18,Matteo Ruggeri,3.1,0.8,0.3,40.4
19,Adrià Pedrosa,3.1,1.3,0.2,32.9
20,Jude Bellingham,3.0,0.8,1.3,48.4
21,Manu Morlanes,3.0,1.0,0.3,39.4
22,Abdelkabir Abqar,3.0,1.3,0.1,22.9
23,Manuel Sánchez,2.9,1.0,0.4,22.6
24,Inigo Ruiz de Galarreta,2.9,0.6,1.2,40.5
25,Marc Bartra,2.9,1.6,0.1,42.2
26,Pepelu,2.8,0.9,0.3,51.0
27,Frenkie de Jong,2.8,1.4,0.4,76.4
28,Jorge Herrando,2.8,1.1,,25.2
29,Pablo Garcia,2.8,0.9,0.6,18.0
30,Antonio Blanco,2.7,1.9,0.2,51.2
31,José Ángel Carmona,2.7,1.1,0.2,32.9
32,Arnau Martinez,2.7,1.7,,43.7
33,Valentin Gomez,2.7,1.1,,38.1
34,Federico Vinas,2.7,0.7,0.2,13.8
35,Rubén Garcia,2.7,0.6,0.7,28.3
36,Unai Vencedor,2.7,0.6,0.5,37.8
37,Carlos Romero,2.6,1.2,0.5,21.2
38,Pablo Maffeo,2.6,1.1,0.2,22.2
39,Victor Chust,2.6,0.6,0.1,55.3
40,Gerard Martin,2.6,1.4,0.1,70.2
41,Coba da Costa,2.6,0.3,0.6,24.3
42,Flavien Boyomo,2.5,0.4,0.1,34.2
43,Eric Garcia,2.5,1.3,0.3,66.8
44,Leander Dendoncker,2.5,0.8,0.1,32.7
45,Juanlu Sánchez,2.5,0.5,0.3,30.6
46,Abdessamad Ezzalzouli,2.5,0.6,1.4,26.6
47,Abderrahman Rebbach,2.5,0.9,0.5,22.7
48,Conor Gallagher,2.5,1.7,0.9,44.8
49,Nahuel Molina,2.5,0.8,0.2,39.3
50,Jesus Vázquez,2.5,0.2,0.4,28.0
51,Léo Pétrot,2.5,0.8,0.2,49.7
52,Daniel Raba,2.5,1.4,1.4,28.6
53,Diego Rico,2.4,1.6,0.2,20.4
54,Omar El Hilali,2.4,1.2,,33.8
55,José Gayà,2.4,0.8,0.3,26.7
56,Kervin Arriaga,2.4,1.0,0.3,38.3
57,André Almeida,2.4,1.3,0.5,43.4
58,Jon Olasagasti,2.4,1.0,0.2,35.0
59,Ayoze Pérez,2.4,0.3,,18.2
60,Arsen Zakharyan,2.4,,0.3,33.4
61,Jonny Otto,2.3,1.6,0.3,47.4
62,Jeremy Toljan,2.3,1.1,0.1,21.5
63,Iván Martin,2.3,0.6,0.3,45.0
64,Germán Valera,2.3,0.5,0.5,34.9
65,Marcos Llorente,2.3,0.5,0.2,55.4
66,Pathé Ciss,2.3,1.4,0.1,53.2
67,Alfonso Pedraza,2.3,0.9,,28.1
68,Miguel Román,2.3,0.8,0.2,41.2
69,Aleix Febas,2.2,0.5,0.6,54.4
70,David Affengruber,2.2,1.6,0.1,55.6
71,Carlos Vicente,2.2,0.5,0.2,27.4
72,Fermin Lopez,2.2,0.3,0.5,38.2
73,Mateu Morey,2.2,1.2,0.6,22.4
74,Williot Swedberg,2.2,,0.2,14.2
75,Gonzalo Garcia,2.2,0.6,1.1,24.8
76,Mikel Jauregizar,2.1,1.7,0.7,36.2
77,Andrei Ratiu,2.1,1.4,0.4,35.6
78,Mauro Arambarri,2.1,0.6,0.6,17.2
79,Johan Mojica,2.1,0.6,0.2,32.6
80,Jon Gorrotxategi,2.1,1.8,0.5,42.9
81,Rahim Alhassane,2.1,1.5,0.1,30.1
82,Pedro Bigas,2.1,1.4,,62.6
83,Santi Comesana,2.1,0.7,0.7,41.8
84,Lucien Agoume,2.1,1.2,0.5,35.7
85,Batista Mendy,2.1,0.8,0.2,28.5
86,Oscar Mingueza,2.1,0.2,0.3,48.1
87,Jon Pacheco,2.1,0.7,,40.4
88,César Azpilicueta,2.1,2.1,,48.2
89,Andrés Lopez,2.1,1.2,,56.2
90,Santi Cazorla,2.1,0.2,0.4,44.8
91,Aurélien Tchouaméni,2.0,1.6,0.4,55.8
92,Giuliano Simeone,2.0,0.8,0.6,30.4
93,Koke,2.0,0.8,0.4,68.3
94,Pedri,2.0,0.8,0.8,83.1
95,Tyrhys Dolan,2.0,0.4,0.8,17.1
96,Mario Martin,2.0,0.3,0.6,19.7
97,Pere Milla,2.0,0.9,1.0,17.9
98,Samu,2.0,0.8,0.6,34.7
99,Lucas Boye,2.0,0.4,1.6,14.7
100,Dani Olmo,2.0,0.5,0.4,45.6
101,Sergi Cardona,2.0,1.8,0.2,31.0
102,Hugo Sotelo,2.0,1.4,0.1,59.2
103,Alberto Reina,2.0,0.8,0.4,34.7
104,Hugo Rincon,2.0,0.5,0.1,30.4
105,Aitor Ruibal,2.0,0.8,0.6,24.5
106,Franco Mastantuono,2.0,,1.0,41.7
107,Héctor Fort,2.0,1.4,0.9,27.9
108,Gerard Gumbau,2.0,0.4,1.2,32.2
109,Federico Valverde,1.9,0.9,0.5,53.6
110,Pep Chavarria,1.9,1.0,0.1,38.8
111,Abel Bretones,1.9,1.0,0.1,19.3
112,Jules Koundé,1.9,1.1,0.2,61.1
113,Arda Güler,1.9,0.4,0.4,51.8
114,Javi Rodriguez,1.9,1.0,0.1,62.9
115,Alejandro Balde,1.9,0.5,0.6,47.7
116,Pablo Ibánez,1.9,1.0,0.6,37.0
117,Djibril Sow,1.9,0.9,0.2,33.0
118,Kiko,1.9,2.0,0.3,22.5
119,Thierry Correia,1.9,1.3,0.3,31.0
120,Juan Foyth,1.9,1.6,0.1,50.7
121,Marc Roca,1.9,1.0,1.0,38.5
122,Charles Pickel,1.9,0.8,0.3,25.4
123,Abu Kamara,1.9,0.9,,19.4
124,Daniel Vivian,1.8,1.3,0.1,41.3
125,Florian Lejeune,1.8,0.9,0.1,53.3
126,Daley Blind,1.8,1.4,0.1,58.5
127,Éder Militao,1.8,0.9,0.3,55.1
128,Unai Lopez,1.8,1.1,0.2,55.5
129,Carles Alena,1.8,0.3,0.4,34.9
130,Nemanja Gudelj,1.8,0.6,0.1,37.2
131,Urko González,1.8,1.2,0.3,25.5
132,Oriol Rey,1.8,0.7,0.1,32.3
133,Omar Mascarell,1.8,1.3,0.3,30.4
134,Manu Fernandez,1.8,0.8,0.3,57.4
135,Rodrygo,1.8,0.2,1.0,40.4
136,Trent Alexander-Arnold,1.8,1.8,,55.6
137,Hugo Álvarez,1.8,0.8,0.8,34.4
138,Unai Gomez,1.8,,1.2,16.8
139,Victor Garcia,1.8,2.8,,20.7
140,Jon Moncayola,1.7,0.8,0.4,35.5
141,David Hancko,1.7,0.7,0.3,41.3
142,Lucas Torro,1.7,1.3,0.3,29.0
143,Marcos Alonso,1.7,1.3,0.1,70.7
144,Nacho Vidal,1.7,1.3,,29.8
145,Rafa Marin,1.7,0.9,,54.4
